"n";"anno";"genere";"eta";"peso";"altezza";"dipsci";"dipcla";"diptec";"dipalt";"componenti";"occhiali";"fumo";"diploma"
45;1988;0;21,10;90,00;180;0;0;1;0;4;1;1;"     tec"
46;1988;0;20,70;70,00;178;1;0;0;0;4;0;0;"     sci"
47;1988;0;20,80;65,00;173;1;0;0;0;5;1;0;"     sci"
48;1988;0;20,80;56,00;170;0;1;0;0;5;1;1;"     cla"
49;1988;0;23,30;70,00;180;0;1;0;0;4;1;0;"     cla"
50;1988;0;24,30;65,00;173;0;0;0;1;6;1;1;"     alt"
51;1988;0;19,10;77,00;173;0;0;1;0;6;1;0;"     tec"
52;1988;0;20,90;79,00;179;1;0;0;0;3;1;0;"     sci"
53;1988;0;21,40;86,50;180;1;0;0;0;6;1;0;"     sci"
54;1988;0;19,40;74,00;178;0;1;0;0;4;0;0;"     cla"
55;1988;0;19,30;90,00;194;0;1;0;0;6;1;1;"     cla"
56;1988;0;22,40;73,00;172;0;0;1;0;4;1;0;"     tec"
57;1988;0;20,50;73,00;185;1;0;0;0;4;0;0;"     sci"
58;1988;0;24,00;68,00;179;0;0;1;0;3;0;1;"     tec"
59;1988;0;22,20;77,00;179;0;0;1;0;3;1;1;"     tec"
60;1988;0;19,40;75,00;180;0;0;1;0;4;0;0;"     tec"
61;1988;0;23,00;105,00;174;1;0;0;0;4;1;0;"     sci"
62;1988;0;23,70;66,00;175;0;0;1;0;3;1;1;"     tec"
63;1988;0;20,50;63,00;169;0;1;0;0;4;1;1;"     cla"
64;1988;0;19,30;65,00;177;0;0;1;0;6;0;0;"     tec"
65;1988;0;22,00;68,00;171;0;1;0;0;4;1;1;"     cla"
66;1988;0;22,20;70,00;178;0;1;0;0;4;1;0;"     cla"
67;1988;0;20,30;74,00;180;1;0;0;0;6;0;1;"     sci"
68;1988;0;21,70;60,00;174;1;0;0;0;5;0;1;"     sci"
69;1988;0;20,80;72,00;175;0;0;1;0;5;0;0;"     tec"
70;1988;0;24,00;68,00;171;0;0;1;0;5;0;0;"     tec"
71;1988;0;21,00;76,00;183;1;0;0;0;6;0;0;"     sci"
72;1988;0;21,90;85,00;180;1;0;0;0;5;0;1;"     sci"
73;1988;0;22,80;70,00;180;0;0;1;0;2;1;1;"     tec"
74;1988;0;21,80;76,00;174;0;0;0;1;3;0;1;"     alt"
75;1988;0;20,10;54,00;171;0;1;0;0;3;0;1;"     cla"
76;1988;0;20,90;75,00;185;1;0;0;0;4;1;0;"     sci"
77;1988;0;27,50;85,00;175;0;1;0;0;5;1;1;"     cla"
78;1988;0;22,20;70,00;180;1;0;0;0;4;0;0;"     sci"
79;1988;0;19,10;70,00;174;1;0;0;0;5;0;0;"     sci"
80;1988;0;21,60;67,00;173;0;0;1;0;5;1;1;"     tec"
81;1988;0;21,90;68,00;178;0;0;1;0;6;0;0;"     tec"
82;1988;0;23,30;68,00;172;0;0;1;0;5;1;1;"     tec"
83;1988;0;21,30;57,00;168;0;0;1;0;6;0;0;"     tec"
84;1988;0;21,30;75,00;177;0;0;1;0;6;0;1;"     tec"
85;1988;0;20,80;70,00;171;0;0;1;0;4;1;1;"     tec"
86;1988;0;22,60;65,00;174;0;1;0;0;5;0;0;"     cla"
87;1988;0;21,00;83,00;177;0;1;0;0;4;1;0;"     cla"
88;1988;0;20,50;75,00;180;0;0;1;0;4;0;0;"     tec"
89;1988;0;23,30;73,00;180;0;1;0;0;4;0;0;"     cla"
90;1988;0;22,80;84,00;173;0;0;1;0;6;0;1;"     tec"
91;1988;0;23,70;74,00;172;1;0;0;0;3;1;0;"     sci"
92;1988;0;30,00;78,00;172;0;0;1;0;1;0;0;"     tec"
93;1988;0;23,70;75,00;165;1;0;0;0;5;0;0;"     sci"
94;1988;0;22,20;73,00;168;0;0;0;1;3;1;0;"     alt"
95;1988;0;21,80;65,00;167;0;0;1;0;5;0;0;"     tec"
96;1988;0;21,80;65,00;170;0;1;0;0;4;1;0;"     cla"
97;1988;0;23,10;75,00;180;0;0;1;0;6;0;1;"     tec"
98;1988;0;21,00;73,00;173;0;0;1;0;3;0;1;"     tec"
99;1988;0;21,90;57,00;163;0;0;1;0;4;1;0;"     tec"
100;1988;0;20,90;85,00;180;0;0;1;0;4;0;1;"     tec"
101;1988;0;19,40;70,00;172;0;1;0;0;5;1;0;"     cla"
102;1988;0;26,80;73,00;187;0;1;0;0;4;1;1;"     cla"
103;1988;0;25,30;64,00;174;1;0;0;0;6;1;0;"     sci"
104;1988;0;20,70;66,00;171;0;1;0;0;7;0;0;"     cla"
105;1988;0;20,80;73,00;180;1;0;0;0;4;1;1;"     sci"
106;1988;0;21,20;74,00;167;0;0;1;0;5;1;0;"     tec"
107;1988;0;24,90;70,00;170;0;0;1;0;4;0;0;"     tec"
108;1988;0;29,10;72,00;183;0;1;0;0;6;1;0;"     cla"
109;1988;0;19,80;80,00;170;1;0;0;0;4;0;1;"     sci"
110;1988;0;20,10;70,00;168;0;0;1;0;4;0;0;"     tec"
111;1988;0;23,40;79,00;183;0;1;0;0;2;0;1;"     cla"
112;1988;0;19,30;59,00;170;0;0;1;0;5;0;1;"     tec"
113;1988;0;20,40;85,00;180;0;0;1;0;4;0;1;"     tec"
114;1988;0;20,80;62,00;180;0;0;1;0;5;0;1;"     tec"
115;1988;0;21,00;78,00;180;0;0;1;0;4;0;1;"     tec"
116;1988;0;19,20;80,00;180;0;0;1;0;4;0;1;"     tec"
117;1988;0;20,60;73,00;184;1;0;0;0;3;1;0;"     sci"
118;1988;0;21,20;60,00;170;0;1;0;0;4;1;0;"     cla"
119;1988;0;20,90;75,00;177;0;0;1;0;4;0;0;"     tec"
120;1988;0;21,80;73,00;172;0;0;1;0;4;1;1;"     tec"
121;1988;0;42,00;84,00;172;0;1;0;0;4;0;1;"     cla"
122;1988;0;20,40;67,00;172;0;0;1;0;4;0;1;"     tec"
123;1988;0;25,60;70,00;165;0;1;0;0;4;0;0;"     cla"
124;1988;0;23,70;65,00;173;0;1;0;0;3;1;1;"     cla"
125;1988;0;21,40;82,00;180;1;0;0;0;4;0;0;"     sci"
126;1988;0;20,50;104,00;176;0;1;0;0;3;0;1;"     cla"
127;1988;0;21,30;69,00;175;0;0;1;0;3;1;1;"     tec"
128;1988;0;20,80;80,00;180;1;0;0;0;4;1;0;"     sci"
129;1988;0;21,80;67,00;169;0;0;1;0;4;1;0;"     tec"
130;1988;0;21,40;83,00;185;0;0;1;0;12;0;1;"     tec"
131;1988;0;20,30;60,00;160;0;0;1;0;4;1;0;"     tec"
132;1988;0;20,10;63,00;172;0;1;0;0;3;0;1;"     cla"
133;1988;0;24,50;75,00;173;1;0;0;0;4;1;0;"     sci"
134;1988;0;20,60;60,00;173;1;0;0;0;7;0;1;"     sci"
135;1988;0;23,00;69,00;170;0;1;0;0;4;1;0;"     cla"
136;1988;0;23,30;60,00;165;0;0;1;0;5;0;0;"     tec"
137;1988;0;20,20;55,00;175;0;0;1;0;4;1;0;"     tec"
138;1988;0;22,90;63,00;173;0;1;0;0;3;0;0;"     cla"
139;1988;0;22,10;75,00;180;1;0;0;0;4;1;0;"     sci"
140;1988;0;21,80;71,00;170;0;1;0;0;6;1;1;"     cla"
141;1988;0;22,70;73,00;183;1;0;0;0;6;1;0;"     sci"
142;1988;0;25,30;74,00;179;1;0;0;0;5;0;0;"     sci"
143;1988;0;21,30;65,00;172;0;1;0;0;3;1;0;"     cla"
144;1988;0;21,70;90,00;192;0;0;1;0;6;0;1;"     tec"
145;1988;0;19,30;60,00;178;0;0;1;0;5;0;1;"     tec"
146;1988;0;22,00;65,00;175;0;0;1;0;8;0;0;"     tec"
147;1988;0;20,70;85,00;183;1;0;0;0;8;1;0;"     sci"
148;1988;0;22,90;63,00;170;0;1;0;0;5;0;0;"     cla"
149;1988;0;21,00;63,00;175;0;1;0;0;4;1;0;"     cla"
150;1988;0;19,70;100,00;186;0;0;1;0;3;0;0;"     tec"
151;1988;0;25,10;80,00;181;0;1;0;0;6;0;0;"     cla"
152;1988;0;20,80;60,00;170;1;0;0;0;5;0;0;"     sci"
153;1988;0;19,30;70,00;185;0;0;1;0;5;0;0;"     tec"
154;1988;0;20,50;75,00;175;0;0;1;0;2;0;1;"     tec"
155;1988;0;23,80;95,00;190;1;0;0;0;7;1;1;"     sci"
156;1988;0;42,90;73,00;170;0;0;1;0;5;0;0;"     tec"
157;1988;0;20,40;91,00;183;1;0;0;0;4;0;1;"     sci"
158;1988;0;21,80;96,00;187;0;1;0;0;5;0;1;"     cla"
159;1988;0;20,30;65,00;168;1;0;0;0;6;0;0;"     sci"
160;1988;0;19,60;75,00;170;0;1;0;0;5;1;1;"     cla"
161;1988;0;19,80;57,00;187;1;0;0;0;5;0;0;"     sci"
162;1988;0;20,60;75,00;178;0;0;1;0;4;0;1;"     tec"
163;1988;0;20,90;73,00;174;0;0;1;0;4;0;0;"     tec"
164;1988;0;20,90;77,00;177;1;0;0;0;5;1;0;"     sci"
165;1988;0;22,60;54,00;164;0;0;1;0;2;1;0;"     tec"
166;1988;0;23,00;80,00;177;0;0;1;0;3;1;0;"     tec"
167;1988;0;22,30;78,00;175;0;0;1;0;4;1;0;"     tec"
168;1988;0;20,70;74,00;176;0;0;1;0;4;0;1;"     tec"
169;1988;0;20,80;80,00;183;0;0;1;0;4;0;1;"     tec"
170;1988;0;27,30;68,00;170;0;0;1;0;4;1;1;"     tec"
171;1988;0;19,30;90,00;183;0;0;1;0;5;0;0;"     tec"
172;1988;0;21,50;70,00;180;0;0;1;0;5;1;0;"     tec"
173;1988;0;23,90;67,00;175;0;0;1;0;1;0;0;"     tec"
174;1988;0;24,50;67,00;167;0;0;1;0;5;0;0;"     tec"
175;1988;0;21,70;82,00;180;1;0;0;0;4;1;1;"     sci"
176;1988;0;37,80;73,00;173;0;1;0;0;3;0;0;"     cla"
177;1988;0;20,50;67,00;177;0;1;0;0;4;0;1;"     cla"
178;1988;0;20,40;66,00;172;0;1;0;0;5;0;0;"     cla"
179;1988;0;25,30;75,00;174;0;0;1;0;5;0;0;"     tec"
180;1988;0;20,50;72,00;170;1;0;0;0;4;0;0;"     sci"
181;1988;0;19,70;64,00;167;0;0;1;0;3;0;0;"     tec"
182;1988;0;19,60;54,00;167;0;1;0;0;4;1;0;"     cla"
183;1988;0;19,70;85,00;177;0;0;1;0;6;0;1;"     tec"
184;1988;0;24,00;74,00;177;0;0;1;0;6;0;0;"     tec"
185;1988;0;21,00;64,00;176;0;0;1;0;5;0;1;"     tec"
186;1988;0;21,40;75,00;178;1;0;0;0;5;0;0;"     sci"
187;1988;0;23,90;69,00;170;0;0;1;0;4;1;0;"     tec"
188;1988;0;23,70;80,00;172;0;0;1;0;2;0;1;"     tec"
189;1988;0;25,20;72,00;182;1;0;0;0;6;0;0;"     sci"
190;1988;0;21,40;75,00;181;1;0;0;0;5;0;0;"     sci"
191;1988;0;21,80;67,00;178;0;0;1;0;4;0;0;"     tec"
192;1988;0;19,70;83,00;187;0;0;1;0;4;0;1;"     tec"
193;1988;0;20,60;62,00;176;0;0;1;0;5;0;0;"     tec"
194;1988;0;20,70;85,00;182;0;0;1;0;5;0;1;"     tec"
195;1988;0;21,10;78,00;183;1;0;0;0;4;0;1;"     sci"
196;1988;1;20,90;49,00;163;0;1;0;0;2;1;0;"     cla"
197;1988;1;20,50;51,00;161;0;0;1;0;4;0;1;"     tec"
198;1988;1;19,10;58,00;167;0;0;1;0;5;1;1;"     tec"
199;1988;1;22,20;67,00;165;0;0;0;1;5;1;1;"     alt"
200;1988;1;21,80;51,00;156;0;0;1;0;4;0;0;"     tec"
201;1988;1;19,20;60,00;170;1;0;0;0;5;1;1;"     sci"
202;1988;1;20,80;55,00;165;0;1;0;0;4;1;1;"     cla"
203;1988;1;21,00;55,00;158;1;0;0;0;5;1;0;"     sci"
204;1988;1;20,90;58,00;170;0;1;0;0;5;1;1;"     cla"
205;1988;1;22,70;76,00;170;0;1;0;0;6;1;0;"     cla"
206;1988;1;21,00;55,00;165;0;1;0;0;7;0;0;"     cla"
207;1988;1;22,00;58,00;165;0;0;1;0;5;1;0;"     tec"
208;1988;1;19,20;57,00;162;0;1;0;0;5;1;0;"     cla"
209;1988;1;19,40;55,00;162;0;1;0;0;4;1;1;"     cla"
210;1988;1;20,00;60,00;170;0;1;0;0;4;0;1;"     cla"
211;1988;1;20,10;61,00;168;0;0;0;1;3;0;0;"     alt"
212;1988;1;20,80;51,00;167;0;0;1;0;4;0;0;"     tec"
213;1988;1;20,50;63,00;170;0;0;0;1;4;1;0;"     alt"
214;1988;1;19,80;56,00;170;0;0;1;0;4;1;0;"     tec"
215;1988;1;19,70;50,00;160;0;0;0;1;3;1;0;"     alt"
216;1988;1;19,50;47,00;155;1;0;0;0;4;1;0;"     sci"
217;1988;1;21,70;49,00;150;0;1;0;0;4;0;0;"     cla"
218;1988;1;20,80;67,00;170;0;0;1;0;5;0;0;"     tec"
219;1988;1;20,20;53,00;155;0;0;1;0;7;1;0;"     tec"
220;1988;1;20,90;56,00;160;1;0;0;0;5;1;1;"     sci"
221;1988;1;19,40;70,00;170;0;0;1;0;4;0;1;"     tec"
222;1988;1;19,20;52,00;155;1;0;0;0;4;0;0;"     sci"
223;1988;1;20,50;48,00;162;0;1;0;0;7;0;0;"     cla"
224;1988;1;20,80;58,00;165;0;0;0;1;5;1;0;"     alt"
225;1988;1;20,90;51,00;160;0;0;1;0;4;1;0;"     tec"
226;1988;1;19,10;56,00;165;0;1;0;0;5;1;1;"     cla"
227;1988;1;19,30;60,00;172;1;0;0;0;4;0;0;"     sci"
228;1988;1;22,40;60,00;166;0;1;0;0;5;0;0;"     cla"
229;1988;1;20,90;57,00;169;0;1;0;0;6;1;0;"     cla"
230;1988;1;19,20;65,00;165;1;0;0;0;4;1;0;"     sci"
231;1988;1;19,80;49,00;157;1;0;0;0;3;0;0;"     sci"
232;1988;1;20,50;61,00;163;0;1;0;0;4;0;0;"     cla"
233;1988;1;20,70;52,00;168;0;1;0;0;2;1;1;"     cla"
234;1988;1;20,80;54,00;158;1;0;0;0;3;0;0;"     sci"
235;1988;1;19,30;45,00;157;1;0;0;0;5;0;0;"     sci"
236;1988;1;21,00;54,00;163;0;0;1;0;4;1;0;"     tec"
237;1988;1;21,80;52,00;168;0;0;1;0;5;0;0;"     tec"
238;1988;1;22,00;53,00;164;0;0;1;0;4;1;0;"     tec"
239;1988;1;19,40;55,00;165;1;0;0;0;4;0;0;"     sci"
240;1988;1;25,60;46,00;159;0;0;1;0;7;0;1;"     tec"
241;1988;1;20,90;51,00;168;0;0;0;1;4;1;1;"     alt"
242;1988;1;20,70;53,00;159;0;0;1;0;7;0;0;"     tec"
243;1988;1;20,80;54,00;163;0;0;1;0;3;0;1;"     tec"
244;1988;1;20,70;48,00;154;0;0;1;0;5;0;0;"     tec"
245;1988;1;20,70;55,00;165;0;0;0;1;5;0;0;"     alt"
246;1988;1;19,80;58,00;170;1;0;0;0;4;1;1;"     sci"
247;1988;1;21,80;58,00;163;0;0;0;1;4;0;0;"     alt"
248;1988;1;23,70;49,00;165;0;1;0;0;5;1;0;"     cla"
249;1988;1;19,30;56,00;171;0;1;0;0;6;1;0;"     cla"
250;1988;1;19,10;58,00;164;0;1;0;0;4;0;1;"     cla"
251;1988;1;20,20;80,00;170;1;0;0;0;5;1;0;"     sci"
252;1988;1;20,80;58,00;158;0;0;1;0;5;0;0;"     tec"
253;1988;1;20,80;55,00;168;0;1;0;0;5;1;0;"     cla"
254;1988;1;20,20;55,00;160;0;1;0;0;5;1;0;"     cla"
255;1988;1;20,20;55,00;170;0;0;1;0;3;1;0;"     tec"
256;1988;1;20,30;48,00;160;0;1;0;0;6;0;0;"     cla"
257;1988;1;20,30;56,00;158;1;0;0;0;4;0;0;"     sci"
258;1988;1;20,50;55,00;160;1;0;0;0;4;1;0;"     sci"
259;1988;1;19,60;63,00;170;0;1;0;0;5;0;1;"     cla"
260;1988;1;22,60;57,00;154;0;1;0;0;6;0;1;"     cla"
261;1988;1;22,10;56,00;165;0;0;0;1;6;1;0;"     alt"
262;1988;1;21,50;60,00;160;0;0;1;0;5;0;1;"     tec"
263;1988;1;20,20;46,00;160;0;0;0;1;7;1;0;"     alt"
264;1988;1;22,00;55,00;160;0;1;0;0;5;0;1;"     cla"
265;1988;1;20,70;50,00;156;0;0;1;0;5;0;1;"     tec"
266;1988;1;20,80;60,00;167;0;0;0;1;4;0;1;"     alt"
267;1988;1;19,20;54,00;175;0;1;0;0;4;1;0;"     cla"
268;1988;1;20,40;63,00;177;0;0;1;0;6;0;0;"     tec"
269;1988;1;20,60;57,00;164;0;1;0;0;5;0;0;"     cla"
270;1988;1;20,80;50,00;160;0;0;0;1;5;0;0;"     alt"
271;1988;1;26,60;60,00;168;1;0;0;0;4;1;1;"     sci"
272;1988;1;19,10;56,00;161;0;0;1;0;3;1;1;"     tec"
273;1988;1;21,00;55,00;161;1;0;0;0;4;1;0;"     sci"
274;1988;1;19,10;52,00;160;0;1;0;0;4;0;0;"     cla"
275;1988;1;20,80;52,00;160;0;0;1;0;8;0;0;"     tec"
276;1988;1;20,20;56,00;160;0;0;1;0;3;0;0;"     tec"
277;1988;1;19,10;50,00;167;0;1;0;0;5;1;0;"     cla"
278;1988;1;23,70;55,00;165;1;0;0;0;4;0;1;"     sci"
279;1988;1;20,80;55,00;155;0;0;1;0;4;0;1;"     tec"
280;1988;1;19,40;62,00;155;1;0;0;0;5;1;0;"     sci"
281;1988;1;19,20;55,00;155;1;0;0;0;6;1;0;"     sci"
282;1988;1;21,40;53,00;163;0;1;0;0;3;1;0;"     cla"
283;1988;1;20,50;57,00;170;1;0;0;0;5;0;0;"     sci"
284;1988;1;20,60;60,00;168;0;1;0;0;3;1;0;"     cla"
285;1988;1;22,80;60,00;172;0;1;0;0;4;0;1;"     cla"
286;1988;1;19,30;54,00;156;0;0;1;0;5;0;0;"     tec"
287;1988;1;21,60;58,00;169;1;0;0;0;4;1;0;"     sci"
288;1988;1;19,10;58,00;168;0;1;0;0;3;1;0;"     cla"
289;1988;1;20,90;58,00;168;0;1;0;0;5;1;0;"     cla"
290;1988;1;19,30;55,00;167;1;0;0;0;5;1;0;"     sci"
291;1988;1;22,30;58,00;165;0;0;0;1;5;0;0;"     alt"
292;1988;1;20,40;60,00;160;0;1;0;0;2;1;0;"     cla"
293;1988;1;20,20;48,00;164;1;0;0;0;6;1;1;"     sci"
294;1988;1;20,60;53,00;170;0;1;0;0;2;0;1;"     cla"
295;1988;1;19,20;63,00;170;0;1;0;0;3;0;0;"     cla"
296;1988;1;19,30;48,00;158;0;0;1;0;5;0;1;"     tec"
297;1988;1;20,90;65,00;170;0;0;1;0;4;1;1;"     tec"
298;1988;1;21,00;52,00;169;0;0;1;0;4;0;1;"     tec"
299;1988;1;19,90;62,00;173;0;0;0;1;4;0;0;"     alt"
300;1988;1;19,40;51,00;170;0;0;1;0;4;1;0;"     tec"
301;1988;1;20,20;59,00;170;0;0;1;0;5;0;0;"     tec"
302;1988;1;20,80;59,00;167;1;0;0;0;6;0;1;"     sci"
303;1988;1;19,10;56,00;172;1;0;0;0;6;0;0;"     sci"
304;1988;1;20,90;55,00;164;0;1;0;0;3;0;0;"     cla"
305;1988;1;20,30;55,00;160;0;0;1;0;4;0;0;"     tec"
306;1988;1;20,20;50,00;163;0;0;0;1;5;1;0;"     alt"
307;1988;1;21,00;60,00;172;0;0;1;0;3;1;1;"     tec"
308;1988;1;20,80;56,00;168;0;1;0;0;5;0;0;"     cla"
309;1988;1;20,70;62,00;167;0;1;0;0;4;1;0;"     cla"
310;1988;1;21,30;51,00;160;0;1;0;0;4;0;0;"     cla"
311;1988;1;19,70;53,00;164;1;0;0;0;5;1;0;"     sci"
312;1988;1;21,70;54,00;165;0;0;1;0;3;0;0;"     tec"
313;1988;1;25,20;52,00;158;0;1;0;0;7;1;1;"     cla"
314;1988;1;20,80;55,00;168;1;0;0;0;5;1;1;"     sci"
315;1988;1;19,30;61,00;174;0;0;0;1;5;0;0;"     alt"
316;1988;1;25,70;53,00;167;0;0;0;1;4;1;0;"     alt"
317;1988;1;22,20;54,00;168;0;1;0;0;5;1;1;"     cla"
318;1988;1;20,60;52,00;162;1;0;0;0;5;0;0;"     sci"
319;1988;1;21,40;61,00;163;0;0;1;0;4;0;1;"     tec"
320;1988;1;20,20;53,00;160;0;0;0;1;6;0;0;"     alt"
321;1988;1;21,40;56,00;167;0;0;1;0;5;0;0;"     tec"
322;1988;1;20,30;63,00;176;0;1;0;0;5;0;1;"     cla"
323;1988;1;28,30;56,00;155;0;0;1;0;2;0;0;"     tec"
324;1988;1;28,70;54,00;158;0;0;1;0;3;0;0;"     tec"
325;1988;1;20,20;58,00;167;0;0;1;0;9;0;1;"     tec"
326;1988;1;20,80;50,00;163;0;0;1;0;3;0;0;"     tec"
327;1988;1;20,90;58,00;160;0;1;0;0;5;1;0;"     cla"
328;1988;1;21,60;58,00;164;0;0;1;0;5;1;0;"     tec"
329;1988;1;20,30;52,00;160;0;0;1;0;6;0;0;"     tec"
330;1988;1;19,10;56,00;170;0;1;0;0;5;0;1;"     cla"
331;1988;1;22,30;55,00;153;0;1;0;0;6;1;0;"     cla"
332;1988;1;20,90;64,00;168;0;1;0;0;5;1;0;"     cla"
333;1988;1;21,80;57,00;167;0;0;1;0;4;1;1;"     tec"
334;1988;1;21,80;55,00;167;0;0;0;1;5;1;0;"     alt"
335;1988;1;19,30;54,00;158;0;1;0;0;3;1;0;"     cla"
336;1988;1;20,60;56,00;161;0;0;0;1;3;1;0;"     alt"
337;1988;1;22,50;63,00;165;0;0;1;0;5;1;0;"     tec"
338;1988;1;22,10;49,00;155;1;0;0;0;6;0;0;"     sci"
339;1988;1;19,10;52,00;158;0;0;1;0;4;0;0;"     tec"
340;1988;1;22,00;50,00;160;0;0;1;0;3;1;1;"     tec"
341;1988;1;19,60;60,00;173;0;1;0;0;4;1;0;"     cla"
342;1988;1;19,60;53,00;165;1;0;0;0;5;0;1;"     sci"
343;1988;1;20,20;65,00;165;0;0;1;0;5;0;0;"     tec"
344;1988;1;20,50;50,00;160;0;0;1;0;2;1;1;"     tec"
345;1988;1;20,90;63,00;165;1;0;0;0;4;0;1;"     sci"
346;1988;1;21,80;62,00;160;1;0;0;0;5;0;1;"     sci"
347;1988;1;21,80;54,00;161;1;0;0;0;6;1;1;"     sci"
348;1988;1;32,00;55,00;150;0;0;1;0;2;0;0;"     tec"
349;1988;1;21,30;63,00;167;0;0;1;0;3;1;1;"     tec"
350;1988;1;21,70;60,00;160;1;0;0;0;6;0;1;"     sci"
351;1988;1;20,30;53,00;162;1;0;0;0;5;1;1;"     sci"
352;1988;1;21,00;50,00;162;0;1;0;0;5;1;1;"     cla"
353;1988;1;20,20;58,00;168;1;0;0;0;4;0;1;"     sci"
354;1988;1;19,30;60,00;163;0;1;0;0;4;0;0;"     cla"
355;1988;1;19,30;51,00;160;0;1;0;0;5;1;0;"     cla"
356;1988;1;20,60;40,00;160;0;1;0;0;5;0;0;"     cla"
357;1988;1;19,10;50,00;167;0;1;0;0;4;0;0;"     cla"
358;1988;1;20,20;46,00;165;0;0;0;1;4;0;0;"     alt"
359;1988;1;22,30;52,00;155;1;0;0;0;5;0;0;"     sci"
360;1988;1;19,20;55,00;167;1;0;0;0;4;0;0;"     sci"
361;1988;1;21,30;64,00;168;0;0;1;0;5;0;0;"     tec"
362;1988;1;20,10;57,00;163;0;1;0;0;3;1;0;"     cla"
363;1988;1;22,40;59,00;165;0;1;0;0;4;0;1;"     cla"
364;1988;1;20,60;52,00;160;0;0;1;0;3;0;1;"     tec"
365;1988;1;21,10;58,00;160;0;0;1;0;5;0;1;"     tec"
366;1988;1;20,70;50,00;160;0;0;1;0;6;0;0;"     tec"
367;1988;1;20,80;50,00;155;0;0;1;0;4;0;1;"     tec"
368;1988;1;20,90;49,00;162;0;1;0;0;4;1;0;"     cla"
369;1988;1;20,30;50,00;153;0;1;0;0;5;1;0;"     cla"
370;1988;1;22,00;65,00;170;0;1;0;0;5;1;0;"     cla"
371;1988;1;22,00;56,00;166;0;1;0;0;7;0;0;"     cla"
372;1988;1;20,50;45,00;165;0;1;0;0;4;0;0;"     cla"
373;1988;1;19,70;57,00;175;0;1;0;0;4;1;1;"     cla"
374;1988;1;19,40;58,00;165;0;1;0;0;4;0;0;"     cla"
