N ETA PESO ALTEZZA SESSO
113 62 NA NA M
114 50 74 178 M
115 69 NA NA M
116 54 NA NA F
117 89 45 165 F
118 88 NA NA F
119 67 NA NA M
120 62 74 170 M
121 65 70 160 M
122 79 54 150 F
123 67 60 166 M
124 70 68 175 M
125 81 NA NA M
126 80 NA NA M
127 64 NA NA M
128 72 100 175 M
129 56 NA NA M
130 54 79 175 M
131 72 81 166 M
132 58 NA NA M
133 87 60 160 F
134 76 NA NA M
135 73 NA NA M
136 64 NA 175 M
137 55 91 185 M
138 91 NA NA M
139 57 NA NA M
140 55 NA NA M
141 90 NA NA F
142 61 85 175 M
143 46 NA NA M
144 69 60 173 M
145 66 93 163 F
146 55 70 165 M
147 79 NA NA M
148 82 NA NA M
149 57 70 170 M
150 63 85 175 M
151 68 NA NA M
152 44 NA NA M
153 60 NA NA M
154 45 90 175 M
155 65 NA NA M
156 63 NA NA M
157 61 NA NA M
158 82 75 160 M
159 62 90 160 M
160 52 70 167 M
161 61 95 175 M
162 61 85 NA M
163 58 NA NA M
164 86 65 160 M
165 74 NA NA F
166 62 75 155 F
167 60 85 185 M
168 75 NA NA M
169 87 NA NA F
170 57 NA NA M
171 59 95 185 M
172 63 NA NA M
173 64 NA NA M
174 64 59 165 F
175 88 NA NA F
176 85 85 160 F
177 76 84 163 F
178 83 NA NA M
179 67 NA NA M
180 74 NA NA F
181 83 100 180 M
182 56 NA NA M
183 86 72 165 F
184 54 NA NA M
185 53 NA NA M
186 66 70 171 M
187 51 NA NA M
188 63 74 162 M
189 54 NA NA M
190 84 NA NA M
191 84 NA NA M
192 71 NA NA F
193 78 70 164 F
194 86 45 150 F
195 50 NA NA M
196 61 NA NA M
197 74 NA NA M
198 48 NA NA M
199 50 NA NA M
200 65 NA NA F
201 75 NA NA M
202 75 NA NA M
203 53 NA NA M
204 52 NA NA M
205 78 NA NA F
206 54 NA NA M
207 50 68 158 F
208 78 NA NA M
209 62 84 170 M
210 82 NA NA M
211 75 NA NA F
212 51 NA NA M
213 57 NA NA M
214 66 NA NA F
215 74 72 175 M
216 58 NA NA F
217 73 NA NA M
218 84 70 175 M
219 52 NA NA M
220 85 NA NA M
221 49 64 158 F
222 58 NA NA M
223 68 60 165 F
224 68 NA NA M
225 64 75 180 M
226 79 NA NA M
227 42 NA NA M
228 54 NA NA M
229 41 80 175 M
230 46 73 173 F
231 77 NA NA M
232 63 NA NA M
233 72 110 175 M
234 81 70 170 M
235 68 NA NA F
236 45 NA NA M
237 71 60 158 M
238 94 NA NA F
239 82 NA NA M
240 71 NA NA M
241 75 100 165 M
242 52 82 170 F
243 46 NA NA M
244 70 NA NA F
245 69 58 160 F
246 61 80 173 M
247 66 78 174 M
248 81 50 160 F
249 50 NA NA M
250 67 NA NA M
251 64 72 165 F
252 80 NA NA M
253 45 NA NA M
254 76 NA NA M
255 40 NA NA F
256 59 NA NA M
257 73 53 158 F
258 81 NA NA F
259 69 NA NA M
260 89 NA NA M
261 73 NA NA F
262 52 NA NA M
263 76 NA NA F
264 67 NA NA M
265 82 NA NA F
266 65 NA NA M
267 85 NA NA F
268 80 NA NA M
269 51 56 170 M
270 84 NA NA F
271 69 NA NA M
272 78 NA NA F
273 53 NA NA M
274 79 NA NA F
275 58 NA NA M
276 73 NA NA M
277 80 73 165 M
278 67 NA NA M
279 70 63 160 M
280 85 80 160 F
281 76 NA NA F
282 67 NA NA M
283 86 NA NA F
284 57 NA NA M
285 74 NA NA M
286 48 NA NA M
287 78 NA NA M
288 43 87 175 M
289 88 NA NA M
290 85 NA NA M
291 61 NA NA M
292 74 49 166 F
293 75 NA NA F
294 63 78 165 M
295 81 NA NA M
296 67 82 160 F
297 70 78 166 M
298 69 179 58 M
299 41 NA NA M
300 72 NA NA M
301 59 71 169 M
302 70 58 160 F
303 74 50 156 F
304 57 NA NA F
305 90 NA NA M
306 82 70 170 M
307 50 NA NA M
308 82 55 158 F
309 57 NA NA M
310 48 NA NA M
311 55 NA NA M
312 89 NA NA F
313 62 NA NA M
314 45 NA NA M
315 73 72 NA F
316 72 NA NA F
317 46 NA NA M
318 60 70 170 M
319 69 NA NA F
320 48 NA NA M
321 69 65 160 M
322 50 86 182 M
323 73 NA NA M
324 66 NA NA M
325 73 NA NA M
326 76 NA NA F
327 68 75 160 F
328 53 NA NA M
329 72 68 169 M
330 69 NA NA F
331 59 NA NA M
332 73 80 173 M
333 68 NA NA F
334 69 76 170 M
335 52 NA NA M
336 51 80 182 M
337 53 90 155 F
338 80 80 160 F
339 55 NA NA M
340 39 NA NA M
341 88 NA NA F
342 75 NA NA F
343 52 77 167 M
344 83 NA NA F
345 70 NA NA F
346 88 73 160 F
347 81 80 NA M
348 76 65 160 F
349 70 65 180 M
350 54 NA NA M
351 76 76 160 F
352 61 80 170 M
353 71 NA NA M
354 68 71 172 M
355 75 NA NA F
356 74 84 163 M
357 84 NA NA F
358 58 NA NA F
359 84 47 158 F
360 66 NA NA F
361 75 62 156 F
362 67 93 174 M
363 56 78 180 M
364 52 NA NA M
365 83 NA NA F
366 87 NA NA M
367 82 67 160 M
368 61 54 164 M
369 71 80 170 M
370 58 78 170 F
371 63 NA NA F
372 78 65 170 M
373 68 NA NA M
374 67 NA NA M
375 66 NA NA F
376 63 110 180 M
377 50 NA NA M
378 81 73 160 F
379 66 75 165 M
380 47 NA NA M
381 66 105 173 M
382 62 NA NA M
383 57 NA NA M
384 90 NA NA F
385 76 72 170 M
386 82 85 178 M
387 69 NA NA F
388 68 71 175 M
389 46 75 174 M
390 76 71 169 M
391 76 NA NA M
392 70 NA NA M
393 71 75 163 M
394 72 NA NA M
395 54 NA NA M
396 60 110 175 M
397 45 63 160 F
398 69 NA NA M
399 64 62 154 M
400 76 NA NA M
401 66 59 168 F
402 83 NA NA F
403 53 NA NA M
404 77 NA NA M
405 84 46 160 F
406 65 NA NA M
407 70 NA NA M
408 67 NA NA M
409 72 62 168 M
410 83 65 160 F
411 60 82 173 M
412 39 90 177 M
413 63 NA NA M
414 55 NA NA F
415 86 NA NA M
416 71 NA NA M
417 53 NA NA M
418 59 70 172 F
419 47 86 164 M
420 54 81 173 M
421 72 80 175 M
422 57 NA NA M
423 55 NA NA M
424 63 NA NA F
425 80 89 170 M
426 64 100 170 M
427 54 NA NA M
428 58 71 170 M
429 50 85 171 M
430 34 74 173 M
431 73 69 160 F
432 58 NA NA M
433 72 75 169 M
434 72 70 168 M
435 56 NA NA M
436 52 NA NA M
437 62 NA NA M
438 58 NA NA M
439 75 NA NA M
440 50 75 172 M
441 70 74 170 M
442 73 NA NA F
443 55 NA NA F
444 93 NA NA F
445 47 58 176 F
446 47 NA NA M
447 71 64 166 M
448 57 74 176 M
449 63 NA NA M
450 55 NA NA F
451 74 65 162 F
452 78 NA NA M
453 79 90 180 M
454 65 NA NA M
455 45 NA NA M
456 50 82 NA M
457 56 84 178 M
458 80 NA NA M
459 64 NA NA M
460 72 70 168 F
461 81 NA NA M
462 71 108 178 M
463 55 70 168 M
464 61 NA NA M
465 67 NA NA M
466 45 NA NA M
467 58 85 165 M
468 70 NA NA M
469 62 NA NA M
470 60 NA NA F
471 49 72 165 M
472 53 86 176 M
473 66 85 176 M
474 52 98 NA M
475 71 85 160 F
476 61 NA NA M
477 70 NA NA M
478 63 NA NA M
479 71 58 168 M
480 58 NA NA M
481 90 88 174 F
482 49 NA NA M
483 54 NA NA M
484 49 NA NA F
485 63 101 175 M
486 61 100 182 M
487 55 104 180 M
488 70 68 163 M
489 93 68 175 M
490 57 NA NA M
491 67 NA NA F
492 61 NA NA M
493 79 NA NA M
494 61 102 175 M
495 70 NA NA M
496 50 86 174 M
497 70 NA NA M
498 67 72 163 M
499 64 60 165 M
500 73 60 160 F
501 44 NA NA M
502 57 NA NA F
503 70 NA NA M
504 82 NA NA M
505 81 NA NA M
506 54 NA NA M
507 68 70 170 M
508 60 NA NA F
509 73 NA NA F
510 56 NA NA M
511 73 79 170 M
512 70 120 183 M
513 79 NA NA M
514 49 80 179 M
515 37 NA NA M
516 72 65 156 F
517 63 NA NA M
518 63 NA NA M
519 60 78 162 M
520 81 70 162 F
521 51 NA NA F
522 81 70 160 F
523 84 NA NA F
524 36 67 170 M
525 54 NA NA F
526 59 NA NA M
527 83 92 186 M
528 57 NA NA M
529 78 NA NA M
530 82 NA NA M
531 60 75 160 M
532 42 NA NA M
533 70 NA NA M
534 44 NA NA M
535 70 NA NA M
536 74 NA NA M
537 78 50 165 M
538 54 73 184 M
539 57 NA NA M
540 73 NA NA M
541 58 80 NA M
542 51 58 165 F
543 54 90 170 M
544 64 NA NA M
545 75 NA NA M
546 73 NA NA F
547 75 78 165 M
548 76 20 150 M
549 70 75 173 M
550 86 NA NA F
551 64 105 NA M
552 94 65 150 F
553 89 NA NA F
554 62 NA NA M
555 83 70 160 F
556 36 60 162 F
557 49 NA NA M
558 84 NA NA F
559 63 NA NA M
560 63 NA NA M
561 59 NA NA M
562 67 NA NA M
563 65 74 170 M
564 48 85 183 M
565 72 NA NA M
566 56 78 170 M
567 78 NA NA M
568 77 NA NA F
569 54 85 175 M
570 69 NA NA M
571 55 92 178 M
572 80 70 160 M
573 73 NA NA M
574 58 NA NA M
575 50 NA NA M
576 38 NA NA M
577 56 88 175 M
578 83 NA NA F
579 70 NA NA M
580 71 60 170 M
581 71 90 171 M
582 71 59 170 M
583 58 NA NA M
584 78 NA NA M
585 58 68 169 M
586 93 NA NA F
587 49 NA NA M
588 73 NA NA M
589 66 85 180 M
590 76 NA NA F
591 77 50 150 M
592 86 NA NA F
593 68 85 175 M
594 49 NA NA M
595 53 NA NA F
596 78 NA NA M
597 84 57 165 F
598 66 73 156 F
599 68 161 70 M
600 69 NA NA M
601 62 NA NA F
602 69 NA NA F
603 71 NA NA M
604 51 NA NA M
605 85 NA NA F
606 71 70 160 F
607 54 NA NA M
608 68 NA NA M
609 64 NA NA F
610 56 NA NA M
611 66 NA NA M
612 55 65 158 M
613 84 54 152 F
614 64 24 174 M
615 76 71 166 M
616 32 85 180 M
617 73 NA NA F
618 60 NA NA M
619 62 NA NA M
620 51 74 NA M
621 70 NA NA F
622 55 NA NA M
623 42 NA NA M
624 89 67 162 F
625 63 70 170 M
626 48 66 172 M
627 76 NA NA M
628 92 68 170 M
629 53 NA NA M
630 59 NA NA M
631 82 NA NA F
632 56 NA NA M
633 84 56 170 M
634 79 NA NA F
635 80 70 170 M
636 72 NA NA M
637 78 74 173 M
638 72 NA NA M
639 62 NA NA M
640 70 NA NA F
641 70 NA NA F
642 90 NA NA F
643 53 NA NA M
644 75 NA NA F
645 39 NA NA F
646 66 NA NA M
647 56 NA NA M
648 67 NA NA M
649 86 62 165 F
650 64 NA NA F
651 95 NA NA F
652 57 NA NA M
653 51 NA NA M
654 65 NA NA M
655 70 58 170 M
656 63 NA NA F
657 57 NA NA F
658 90 50 160 F
659 69 NA NA F
660 69 NA NA M
661 69 82 167 F
662 67 51 158 M
663 57 63 170 M
664 57 NA NA F
665 54 88 178 M
666 64 NA NA M
667 76 79 165 M
668 64 NA NA M
669 72 NA NA M
670 62 NA NA M
671 61 85 160 M
672 56 90 186 M
673 49 70 165 M
674 71 NA NA M
675 71 NA NA M
676 81 NA NA M
677 82 NA NA M
678 85 NA NA M
679 65 NA NA M
680 70 NA NA M
681 50 NA NA M
682 48 NA NA M
683 77 NA NA F
684 76 80 162 M
685 44 NA NA M
686 91 NA NA F
687 89 NA NA F
688 43 87 178 M
689 57 NA NA M
690 63 75 168 M
691 63 NA NA M
692 69 NA NA F
693 58 NA NA M
694 54 72 185 M
695 64 NA NA M
696 81 NA NA M
697 76 NA NA M
698 75 NA NA M
699 59 67 172 M
700 59 87 156 F
701 85 66 160 F
702 48 80 178 M
703 70 58 173 M
704 55 NA NA M
705 58 NA NA M
706 63 NA NA M
707 72 NA NA M
708 76 75 170 M
709 81 NA NA F
710 91 NA NA F
711 75 NA NA F
712 63 66 150 F
713 81 NA NA M
714 69 48 160 F
715 79 60 155 F
716 68 75 170 M
717 53 NA NA M
718 78 NA NA M
719 79 NA NA F
720 75 NA NA F
721 60 NA NA M
722 51 NA NA M
723 80 NA NA M
724 63 NA NA F
725 75 63 168 M
726 89 NA NA F
727 83 80 160 F
728 81 70 162 F
729 69 73 NA M
730 62 NA NA M
731 66 67 160 M
732 56 NA NA F
733 45 NA NA F
734 60 NA NA M
735 63 54 155 F
736 62 80 155 F
737 85 NA NA F
738 66 NA NA M
739 67 NA NA M
740 45 100 180 M
741 64 NA NA M
742 46 NA NA M
743 86 NA NA M
744 58 NA NA M
745 64 82 160 F
746 73 67 160 F
747 71 NA NA F
748 61 NA NA M
749 68 NA NA M
750 67 NA NA M
751 53 NA NA F
752 79 NA NA M
753 64 NA NA M
754 72 NA NA F
755 80 NA NA M
756 46 95 175 M
757 54 NA NA M
758 79 64 167 M
759 69 NA NA F
760 56 68 165 M
761 68 50 160 M
762 61 NA NA M
763 55 97 185 M
764 74 80 174 M
765 79 48 164 M
766 94 NA NA M
767 62 NA NA M
768 87 53 159 F
769 61 NA NA M
770 69 70 166 M
771 80 74 155 F
772 61 NA NA M
773 78 68 173 M
774 56 NA NA M
775 66 NA NA M
776 60 NA NA M
777 87 72 168 M
778 56 135 192 M
779 52 NA NA M
780 63 NA NA M
781 56 92 182 M
782 71 70 165 F
783 54 NA NA M
784 63 NA NA M
785 88 70 155 F
786 81 NA NA F
787 73 60 160 F
788 57 NA NA M
789 70 62 160 M
790 88 NA NA F
791 76 NA NA M
792 66 62 157 M
793 87 NA NA F
794 81 NA NA M
795 89 60 160 F
796 62 73 169 M
797 65 NA NA M
798 63 NA NA M
799 58 NA NA M
800 57 NA NA M
801 78 80 172 M
802 63 NA NA M
803 60 NA NA M
804 71 66 165 M
805 64 90 175 M
806 88 50 160 F
807 67 65 167 M
808 63 NA NA M
809 40 NA NA M
810 48 NA NA M
811 84 NA NA F
812 69 90 175 F
813 98 70 170 M
814 71 75 NA M
815 71 NA NA M
816 61 NA NA M
817 54 NA NA M
818 67 NA NA M
819 61 NA NA M
820 51 76 176 M
821 86 52 160 F
822 81 NA NA M
823 36 60 NA F
824 50 NA NA F
825 59 NA NA M
826 44 120 187 M
827 60 100 179 M
828 67 83 178 M
829 78 NA NA F
830 46 NA NA M
831 86 73 160 F
832 68 68 159 F
833 50 90 172 M
834 80 60 165 F
835 64 62 160 F
836 79 NA NA F
837 68 NA NA F
838 56 95 178 M
839 60 NA NA M
840 60 NA NA M
841 63 75 173 M
842 48 82 178 M
843 79 NA NA M
844 63 65 160 M
845 66 NA NA M
846 77 NA NA M
847 52 NA NA M
848 66 NA NA M
849 57 NA NA M
850 66 NA NA M
851 76 90 175 M
852 68 85 175 M
853 87 NA NA F
854 70 68 168 M
855 73 NA NA M
856 81 NA NA F
857 45 81 174 M
858 62 NA NA F
859 45 NA NA M
860 84 95 176 M
861 60 89 175 M
862 75 NA NA M
863 60 73 165 M
864 81 NA NA M
865 44 80 185 M
866 72 82 170 M
867 60 NA NA M
868 68 65 167 M
869 56 115 178 M
870 59 65 166 M
871 85 NA NA F
872 44 NA NA M
873 56 NA NA M
874 62 NA NA M
875 53 80 175 M
876 67 NA NA F
877 85 NA NA F
878 90 NA NA F
879 79 NA NA M
880 64 NA NA F
881 67 NA NA M
882 50 78 175 M
883 63 70 170 M
884 60 85 170 M
885 52 95 178 M
886 70 83 165 M
887 76 NA NA M
888 87 NA NA F
889 58 NA NA M
890 70 NA NA M
891 74 62 165 M
892 48 NA NA M
893 74 NA NA F
894 90 60 150 F
895 51 85 170 M
896 82 84 178 M
897 87 70 165 F
898 77 NA NA F
899 71 78 NA M
900 67 NA NA M
901 69 68 168 M
902 74 60 168 M
903 88 66 156 F
904 54 92 170 M
905 70 NA NA M
906 75 NA NA F
907 57 65 170 M
908 53 NA NA M
909 44 87 180 M
910 82 64 174 M
911 61 NA NA M
912 84 NA NA F
913 78 NA NA M
914 72 NA NA F
915 58 NA NA F
916 48 NA NA M
917 61 70 167 M
918 74 74 171 M
919 51 NA NA M
920 57 NA NA F
921 68 73 172 M
922 72 72 168 M
923 50 110 185 M
924 79 NA NA M
925 72 103 176 M
926 66 NA NA F
927 76 NA NA F
928 57 86 167 M
929 83 NA NA F
930 46 NA NA M
931 53 NA NA F
932 55 70 171 M
933 89 NA NA M
934 63 70 173 M
935 78 NA NA F
936 61 NA NA F
937 56 NA NA M
938 60 70 172 M
939 82 NA NA M
940 50 NA NA M
941 51 84 179 M
942 73 50 155 F
943 65 NA NA M
944 51 NA NA M
945 78 68 170 M
946 46 NA NA M
947 67 64 164 M
948 79 73 163 F
949 44 66 168 M
950 59 NA NA M
951 60 NA NA M
952 60 90 165 M
953 46 NA NA M
954 88 67 150 F
955 60 83 160 F
956 57 62 158 F
957 63 NA NA M
958 58 67 170 M
959 55 88 175 M
960 81 74 170 M
961 74 NA NA M
962 59 124 170 M
963 45 83 180 M
964 57 NA NA M
965 67 82 170 M
966 69 NA NA M
967 86 NA NA M
968 90 NA NA F
969 78 NA NA M
970 62 NA NA F
971 42 72 178 M
972 54 108 172 M
973 43 NA NA F
974 75 NA NA F
975 85 NA NA F
976 73 NA NA F
977 83 84 170 M
978 65 NA NA M
979 51 80 NA M
980 55 NA NA M
981 67 NA NA M
982 78 NA NA M
983 59 100 189 M
984 46 66 168 F
985 58 87 166 M
986 62 NA NA M
987 81 NA NA M
988 73 NA NA M
989 48 67 160 M
990 58 NA NA M
991 74 NA NA M
992 49 NA NA M
993 52 NA NA M
994 50 NA NA M
995 42 NA NA F
996 67 107 180 M
997 98 NA NA F
998 44 NA NA M
999 65 NA NA M
1000 56 89 165 M
1001 76 NA NA F
1002 71 78 107 M
1003 60 NA NA M
1004 71 NA NA M
1005 82 NA NA M
1006 68 NA NA M
1007 49 104 178 M
1008 62 NA NA M
1009 60 NA NA M
1010 55 NA NA M
1011 52 NA NA M
1012 48 NA NA M
1013 59 NA NA M
1014 71 NA NA M
1015 64 NA NA M
1016 50 75 160 F
1017 55 115 178 M
1018 39 NA NA M
1019 64 130 80 M
1020 65 80 167 M
1021 55 NA NA M
1022 49 NA NA M
1023 84 80 170 M
1024 72 86 160 F
1025 51 72 150 F
1026 56 165 60 M
1027 65 70 170 M
1028 54 NA NA M
1029 40 80 170 M
1030 50 NA NA M
1031 66 70 165 F
1032 73 NA NA M
1033 41 NA NA M
1034 56 90 181 M
1035 54 70 168 M
1036 55 63 150 M
1037 41 67 165 M
1038 53 NA NA M
1039 55 NA NA F
1040 50 NA NA M
1041 61 56 154 M
1042 84 91 165 F
1043 44 NA NA M
1044 44 NA NA M
1045 41 NA NA F
1046 60 NA NA F
1047 64 60 161 M
1048 38 NA NA M
1049 72 NA NA F
1050 47 NA NA M
1051 48 95 170 M
1052 47 80 175 M
1053 45 NA NA M
1054 100 50 150 F
1055 51 88 167 M
1056 43 NA NA M
1057 58 62 162 M
1058 79 60 162 F
1059 48 NA NA F
1060 35 65 160 M
1061 70 85 178 M
1062 36 NA NA M
1063 44 NA NA M
1064 91 NA NA F
1065 74 NA NA M
1066 71 60 160 F
1067 45 NA NA M
1068 39 NA NA M
1069 58 NA NA M
1070 39 68 173 M
1071 72 NA NA M
1072 50 NA NA M
1073 64 62 160 M
1074 44 NA NA M
1075 66 NA NA M
1076 59 NA NA M
1077 55 NA NA F
1078 48 95 180 M
1079 91 NA NA F
1080 83 NA NA F
1081 39 101 186 M
1082 54 72 180 M
1083 76 NA NA M
1084 64 85 170 M
1085 43 98 167 F
1086 50 160 65 M
1087 73 NA NA F
