"N";"AltInch";"PesoPounds"
466;69,50;135,17
467;66,44;108,80
468;68,56;110,51
469;67,01;138,26
470;68,70;119,51
471;68,23;115,32
472;70,40;132,36
473;65,69;93,99
474;65,70;127,40
475;68,48;134,30
476;66,62;124,97
477;66,84;124,07
478;69,89;133,54
479;67,65;134,15
480;68,30;130,24
481;69,74;138,09
482;68,57;126,60
483;68,14;131,80
484;67,98;131,73
485;64,82;117,62
486;69,20;126,19
487;69,26;127,51
488;70,94;142,47
489;69,07;139,44
490;66,20;110,32
491;71,05;131,95
492;68,99;129,20
493;70,96;124,35
494;66,02;126,52
495;69,86;149,23
496;66,82;142,15
497;69,09;127,14
498;66,81;122,33
499;67,13;112,66
500;64,57;134,26
501;68,68;120,69
502;67,53;115,78
503;71,17;128,68
504;70,53;134,76
505;71,53;118,34
506;66,77;106,15
507;66,33;126,38
508;64,83;114,37
509;68,38;130,27
510;68,05;123,30
511;69,09;122,85
512;69,91;125,69
513;68,40;111,72
514;68,32;125,55
515;66,95;119,97
516;70,54;132,60
517;69,37;132,67
518;67,52;117,45
519;64,87;101,85
520;69,13;128,44
521;68,81;134,04
522;67,56;127,75
523;68,16;127,61
524;65,80;139,39
525;64,92;113,93
526;68,35;147,51
527;66,71;132,65
528;69,18;132,81
529;65,88;105,09
530;66,03;127,51
531;69,44;130,73
532;67,14;128,58
533;65,69;122,56
534;69,42;157,29
535;66,54;121,10
536;69,04;147,50
537;67,62;117,49
538;69,59;132,44
539;68,12;118,17
540;71,22;123,73
541;66,43;130,36
542;66,31;122,88
543;68,02;107,86
544;68,28;118,59
545;66,91;125,64
546;71,77;148,60
547;66,04;150,27
548;69,01;127,06
549;68,70;128,71
550;65,01;118,42
551;66,05;125,38
552;71,16;149,26
553;67,55;107,34
554;68,83;133,69
555;68,11;124,85
556;67,90;112,70
557;67,64;127,84
558;69,78;134,16
559;67,99;138,60
560;69,41;126,04
561;70,42;129,58
562;67,67;134,10
563;67,88;106,12
564;68,06;127,05
565;66,99;121,92
566;71,57;150,73
567;64,36;116,00
568;67,93;125,47
569;69,91;131,60
570;69,93;129,06
571;66,79;129,11
572;70,11;148,16
573;68,94;105,38
574;68,02;110,54
575;69,36;118,64
576;68,44;122,81
577;65,70;124,88
578;69,55;135,76
579;65,84;116,45
580;68,79;125,36
581;69,03;133,12
582;67,36;138,33
583;70,35;124,49
584;69,88;136,72
585;65,15;115,01
586;69,40;132,63
587;68,50;143,13
588;65,71;134,74
589;63,98;122,62
590;70,07;153,56
591;68,42;126,28
592;68,23;134,72
593;67,82;134,59
594;66,31;118,39
595;69,75;121,29
596;65,70;132,28
597;66,88;139,06
598;67,27;110,69
599;70,63;154,10
600;69,93;124,15
601;65,87;134,51
602;72,44;138,26
603;70,07;149,08
604;67,68;127,00
605;66,11;117,82
606;69,94;148,90
607;68,24;128,21
608;68,80;129,69
609;66,61;125,56
610;70,18;128,79
611;65,58;124,18
612;68,69;151,41
613;64,88;106,98
614;69,81;145,62
615;66,33;121,59
616;70,44;130,93
617;69,99;135,62
618;70,13;123,93
619;67,17;131,99
620;68,20;117,48
621;67,76;129,65
622;64,79;122,37
623;66,47;114,58
624;66,98;116,54
625;65,69;139,43
626;66,82;123,48
627;66,35;132,54
628;70,13;143,40
629;70,11;132,94
630;64,56;98,89
631;68,15;122,43
632;67,14;104,67
633;70,88;142,78
634;68,16;130,92
635;71,19;143,82
636;67,92;142,28
637;65,30;107,94
638;66,40;105,68
639;71,30;125,40
640;69,05;106,41
641;65,95;118,53
642;69,63;136,78
643;71,10;145,93
644;66,21;129,63
645;66,13;108,49
646;67,78;121,25
647;66,67;135,73
648;69,99;137,50
649;71,14;124,00
650;68,63;128,86
651;69,08;133,68
652;67,97;106,51
653;65,94;113,03
654;66,02;125,96
655;71,23;140,29
656;67,52;143,22
657;71,06;145,80
658;68,27;128,16
659;67,31;134,18
660;68,98;140,21
661;68,40;146,34
662;67,09;132,07
663;66,76;122,13
664;65,64;131,46
665;65,34;129,51
666;68,18;125,74
667;70,65;153,13
668;65,94;124,55
669;69,62;134,82
670;68,29;115,38
671;70,06;117,96
672;68,43;124,56
673;69,27;134,40
674;67,70;129,30
675;70,89;133,14
676;70,54;147,36
677;71,58;155,01
678;68,42;126,29
679;69,35;134,46
680;70,44;134,02
681;67,38;128,92
682;67,50;123,05
683;68,52;112,17
684;66,80;111,74
685;72,38;148,46
686;68,51;136,74
687;70,79;133,20
688;66,21;116,88
689;68,31;124,85
690;67,17;121,58
691;67,77;123,19
692;67,47;137,12
693;67,77;121,49
694;69,20;150,93
695;70,04;142,30
696;70,56;134,75
697;66,45;133,55
698;67,68;136,08
699;65,75;95,20
700;69,35;119,74
701;70,59;152,91
702;67,27;140,19
703;68,48;145,25
704;67,02;119,48
705;65,77;123,51
706;65,96;110,67
707;68,18;111,49
708;72,08;139,48
709;66,85;133,08
710;69,10;133,51
711;64,59;112,76
712;67,03;124,79
713;68,99;123,42
714;70,59;142,09
715;70,08;116,28
716;65,68;131,12
717;67,09;131,24
718;66,03;127,24
719;69,26;122,45
720;66,61;115,24
721;68,11;126,95
722;69,73;143,44
723;64,02;125,37
724;66,23;109,00
725;72,46;139,24
726;66,21;102,18
727;71,29;144,38
728;63,12;83,08
729;70,93;145,39
730;68,25;134,92
731;64,78;134,67
732;65,42;111,49
733;68,91;119,79
734;64,96;95,70
735;66,15;117,15
736;65,98;127,23
737;69,24;144,92
738;68,31;122,84
739;70,11;134,19
740;68,63;124,97
741;67,74;135,84
742;64,58;120,82
743;64,66;125,01
744;65,90;133,54
745;65,77;124,55
746;67,15;135,96
747;72,24;143,57
748;68,73;130,57
749;67,57;127,19
750;70,36;141,23
751;63,62;107,42
752;66,20;122,32
753;66,22;111,60
754;70,07;137,89
755;69,65;142,87
756;66,25;114,43
757;68,07;128,27
758;67,14;134,57
759;68,76;140,10
760;68,12;121,97
761;65,72;111,42
762;69,17;135,07
763;70,36;132,98
764;70,78;117,75
765;70,88;134,98
766;66,62;151,61
767;69,98;128,92
768;66,92;120,15
769;71,45;125,60
770;69,66;127,82
771;69,30;136,13
772;66,59;116,28
773;64,20;127,07
774;68,23;125,71
775;70,09;121,07
776;70,97;122,73
777;64,93;119,45
778;66,90;132,90
779;69,19;132,86
780;68,41;124,34
781;66,31;132,21
782;72,13;142,80
783;65,74;129,60
784;69,96;128,53
785;65,11;112,99
786;67,43;122,07
787;66,39;118,39
788;67,18;130,12
789;67,68;111,68
790;67,77;142,24
791;63,62;122,60
792;66,44;122,81
793;71,92;119,11
794;67,92;139,43
795;68,01;141,33
796;67,76;119,78
797;69,19;136,32
798;67,00;118,40
799;67,09;137,69
800;69,85;129,07
801;67,42;123,46
802;68,11;115,43
803;68,29;129,93
804;69,45;135,95
805;69,08;127,81
806;70,91;139,10
807;64,20;109,21
808;71,10;124,61
809;72,08;136,22
810;66,15;120,47
811;67,52;116,16
812;67,17;115,50
813;72,92;141,99
814;65,54;135,48
815;69,08;135,13
816;65,28;108,24
817;68,53;125,12
818;71,32;142,89
819;66,88;128,29
820;67,91;128,26
821;67,00;103,56
822;68,27;156,10
823;66,20;104,96
824;64,24;121,63
825;67,43;132,00
826;64,50;118,40
827;68,89;135,38
828;70,32;140,66
829;64,31;111,67
830;67,11;128,03
831;68,01;130,47
832;68,25;128,21
833;67,76;142,82
834;67,44;123,08
835;65,73;117,87
836;69,64;130,92
837;71,92;129,17
838;69,39;144,57
839;67,14;115,86
840;69,14;116,53
841;66,90;141,99
842;67,83;132,13
843;68,09;135,26
844;66,14;127,06
845;71,16;129,84
846;67,55;134,50
847;70,01;121,36
848;72,56;143,14
849;66,60;124,77
850;68,51;120,15
851;66,34;139,41
852;69,02;131,67
853;69,12;131,07
854;68,24;129,89
855;68,48;123,34
856;70,68;137,53
857;70,35;136,88
858;67,62;118,40
859;69,44;116,24
860;67,92;124,84
861;68,39;120,98
862;66,31;105,12
863;71,22;145,43
864;65,29;108,19
865;66,00;130,37
866;67,61;117,51
867;69,10;135,87
868;68,99;127,51
869;69,07;151,39
870;68,34;112,47
871;71,68;156,75
872;68,77;138,20
873;66,18;109,56
874;72,37;139,97
875;66,85;124,58
876;65,75;130,50
877;69,69;151,07
878;66,27;108,77
879;66,47;105,99
880;68,71;143,43
881;68,29;114,74
882;67,66;123,77
883;71,29;139,47
884;67,07;115,82
885;70,68;146,56
886;71,40;153,99
887;71,00;137,58
888;66,27;125,92
889;68,05;139,69
890;64,16;126,35
891;66,87;113,93
892;70,52;129,76
893;65,45;116,19
894;69,11;139,12
895;67,94;126,98
896;67,21;125,83
897;67,63;113,52
898;70,09;123,23
899;64,41;123,05
900;69,77;128,13
901;66,58;127,93
902;68,14;110,46
903;66,18;127,93
904;66,79;118,16
905;67,16;129,72
906;68,01;130,60
907;66,95;105,04
908;68,70;122,62
909;69,68;138,32
910;66,52;107,73
911;66,46;141,44
912;71,44;153,69
913;66,62;134,55
914;64,01;109,65
915;65,03;117,20
916;66,77;124,28
917;68,91;125,21
918;71,22;133,22
919;71,10;122,60
920;69,80;134,86
921;67,09;111,45
922;67,27;116,84
923;71,86;143,15
924;67,20;99,92
925;68,44;127,92
926;67,20;136,65
927;69,36;145,39
928;69,04;126,68
929;65,90;128,19
930;66,44;122,83
931;66,08;133,25
932;69,35;116,76
933;70,83;144,04
934;67,66;132,51
935;65,30;123,98
936;66,66;113,14
937;66,93;123,95
938;67,73;133,97
939;64,27;128,15
940;66,83;121,28
941;65,89;122,71
942;67,65;125,41
943;68,68;124,87
944;66,08;116,59
945;66,91;129,88
946;69,48;123,88
947;68,60;137,65
948;69,21;130,88
949;67,63;141,97
950;65,73;125,73
951;66,09;104,41
952;67,65;117,06
953;67,59;131,76
954;69,57;125,47
955;66,08;129,57
956;70,08;130,10
957;65,00;131,93
958;69,16;142,46
959;69,61;127,64
960;71,48;153,31
961;69,47;126,76
962;69,00;114,02
963;69,55;133,96
964;68,63;127,58
965;67,20;126,48
966;66,07;120,76
967;66,18;126,64
968;70,80;133,07
969;67,15;125,96
970;65,29;121,32
971;69,23;129,78
972;68,90;130,05
973;72,34;123,40
974;68,29;137,27
975;68,34;127,75
976;67,46;133,68
977;68,86;113,92
978;66,62;135,61
979;64,77;122,60
980;67,70;118,94
981;72,99;134,27
982;70,95;124,27
983;67,95;130,69
984;67,20;124,67
985;66,36;129,08
986;67,63;121,94
987;69,74;126,26
988;68,17;134,61
989;66,89;131,84
990;67,49;103,58
991;66,51;116,39
992;66,88;123,50
993;69,72;150,33
994;69,78;135,24
995;65,40;112,45
996;67,99;137,48
997;72,25;132,79
998;70,79;126,02
999;65,18;141,35
1000;67,71;135,90
1001;70,05;134,66
1002;67,30;122,02
1003;66,39;128,35
1004;69,73;130,63
1005;68,71;131,71
1006;63,88;108,61
1007;68,40;114,56
1008;67,93;133,51
1009;70,69;135,86
1010;68,95;148,10
1011;66,49;123,51
1012;68,59;120,84
1013;66,26;116,26
1014;69,58;123,89
1015;67,35;119,32
1016;69,68;119,40
1017;68,44;124,59
1018;68,47;130,88
1019;65,45;118,20
1020;66,80;109,63
1021;70,05;140,22
1022;67,43;121,57
1023;66,54;98,30
1024;67,32;117,61
1025;67,97;136,51
1026;69,03;148,97
1027;67,69;123,96
1028;69,30;133,59
1029;65,39;117,23
1030;68,35;123,59
1031;65,36;117,76
1032;68,36;137,23
1033;71,15;129,19
1034;69,25;142,40
1035;66,69;128,48
1036;69,17;115,30
1037;68,31;119,53
1038;67,81;121,72
1039;68,56;142,84
1040;66,23;110,11
1041;68,95;122,09
1042;67,86;124,81
1043;68,05;119,31
1044;67,73;132,45
1045;69,83;133,03
1046;70,68;160,88
1047;64,54;119,12
1048;67,93;138,51
1049;67,77;124,82
1050;69,41;135,97
1051;67,77;116,22
1052;67,79;139,20
1053;67,98;137,98
1054;69,97;144,50
1055;63,83;109,19
1056;65,57;127,22
1057;69,34;124,55
1058;67,28;114,92
1059;68,74;132,50
1060;69,03;125,38
1061;69,64;128,49
1062;66,70;117,73
1063;67,91;112,95
1064;64,36;126,18
1065;65,87;118,79
1066;67,07;125,43
1067;69,34;124,94
1068;69,83;145,51
1069;66,10;116,78
1070;69,26;132,52
1071;68,33;114,89
1072;69,38;122,85
1073;69,12;130,57
1074;68,44;119,10
1075;66,34;133,82
1076;70,03;128,57
1077;70,16;139,01
1078;68,18;101,28
1079;70,12;140,95
1080;68,42;134,61
1081;66,43;129,94
1082;71,72;139,06
1083;70,72;135,19
1084;68,09;129,68
1085;70,12;129,13
1086;66,05;129,00
1087;69,77;112,73
1088;68,15;126,11
1089;69,91;118,37
1090;65,34;122,97
1091;68,35;130,36
1092;64,50;114,22
1093;67,95;115,78
1094;68,57;137,95
1095;68,12;112,24
1096;68,77;137,23
1097;67,92;124,94
1098;69,14;135,09
1099;63,20;114,41
1100;69,24;122,18
1101;65,88;129,37
1102;67,85;129,94
1103;65,57;140,45
1104;66,70;120,89
1105;69,17;129,15
1106;69,23;137,13
1107;67,57;145,22
1108;69,50;140,09
1109;70,60;124,12
1110;66,54;135,68
1111;69,11;127,75
1112;69,95;144,04
1113;67,70;131,93
1114;69,19;135,52
1115;67,80;151,35
1116;67,62;124,70
1117;70,36;135,27
1118;71,02;136,53
1119;69,84;137,87
1120;67,08;114,20
1121;68,62;141,58
1122;64,37;111,09
1123;65,93;126,38
1124;65,24;132,88
1125;70,51;144,79
1126;66,61;108,38
1127;67,13;124,13
1128;66,77;129,44
1129;67,69;131,33
1130;67,82;111,64
1131;66,63;111,64
1132;67,62;140,31
1133;69,66;125,52
1134;62,75;114,49
1135;64,53;113,99
1136;68,01;117,19
1137;66,38;138,31
1138;70,18;122,37
1139;64,64;132,94
1140;67,48;124,04
1141;72,01;144,15
1142;66,61;115,45
1143;65,81;116,51
1144;71,16;139,61
1145;68,51;133,23
1146;64,96;120,02
1147;66,88;123,11
1148;70,35;132,84
1149;67,71;120,93
1150;66,03;129,77
1151;68,98;136,91
1152;68,60;131,12
1153;66,84;133,48
1154;68,03;136,38
1155;64,79;131,45
1156;70,55;126,19
1157;68,28;115,04
1158;68,77;130,31
1159;67,09;131,69
1160;70,14;135,65
1161;65,46;120,30
1162;69,02;129,14
1163;74,24;150,21
1164;64,08;120,20
1165;67,57;132,15
1166;69,19;132,12
1167;64,48;119,50
1168;68,75;136,76
1169;68,45;147,78
1170;66,44;145,59
1171;70,17;124,96
1172;67,13;127,90
1173;66,91;125,91
1174;68,63;109,68
1175;66,95;107,77
1176;69,97;134,10
1177;66,92;134,90
1178;68,76;139,63
1179;67,40;127,02
1180;65,74;134,77
1181;65,88;99,97
1182;66,77;129,45
1183;66,96;129,35
1184;63,46;103,65
1185;68,35;115,73
1186;64,43;104,88
1187;63,52;131,00
1188;66,86;129,07
1189;65,53;102,54
1190;71,82;133,22
1191;68,86;146,30
1192;70,79;140,81
1193;69,02;132,46
1194;67,35;118,84
1195;66,32;133,44
1196;67,75;134,88
1197;68,64;129,67
1198;68,18;136,73
1199;71,53;133,99
1200;68,58;128,13
1201;71,33;130,24
1202;67,18;130,29
1203;67,70;128,32
1204;64,13;134,05
1205;69,90;140,58
1206;66,72;115,19
1207;69,35;135,84
1208;69,70;142,85
1209;67,73;143,09
1210;68,16;114,95
1211;71,94;149,42
1212;67,37;132,05
1213;65,34;127,01
1214;65,63;103,36
1215;68,91;125,32
1216;65,44;130,64
1217;68,11;124,36
1218;69,52;140,60
1219;69,40;124,22
1220;70,00;132,96
1221;68,59;130,20
1222;64,76;106,62
1223;67,52;108,98
1224;66,71;109,94
1225;67,94;124,36
1226;69,09;131,50
1227;70,04;137,42
1228;67,92;116,02
1229;67,99;117,90
1230;68,92;116,72
1231;66,75;115,46
1232;68,07;129,97
1233;68,75;148,91
1234;70,93;126,08
1235;68,29;115,49
1236;69,25;158,78
1237;68,39;141,20
1238;68,48;129,83
1239;69,47;137,06
1240;66,33;123,24
1241;66,88;117,96
1242;65,20;102,49
1243;68,37;130,63
1244;67,10;144,62
1245;62,64;100,19
1246;69,06;120,29
1247;71,15;144,31
1248;68,93;114,88
1249;68,10;141,53
1250;64,45;114,69
1251;65,96;121,66
1252;68,73;119,32
1253;70,53;135,20
1254;67,40;115,94
1255;66,11;123,22
1256;69,47;133,06
1257;70,95;136,34
1258;65,56;124,14
1259;65,49;116,29
1260;68,89;133,16
1261;67,59;137,94
1262;66,17;133,31
1263;68,70;114,22
1264;65,47;137,65
1265;67,72;131,53
1266;70,02;137,22
1267;69,72;135,13
1268;67,90;113,92
1269;65,61;132,58
1270;71,40;133,57
1271;66,27;106,77
1272;65,02;95,18
1273;65,68;114,26
1274;66,85;126,48
1275;68,23;126,70
1276;66,12;110,90
1277;71,32;132,36
1278;70,20;133,71
1279;71,03;144,01
1280;68,18;129,90
1281;68,99;106,56
1282;67,95;121,94
1283;69,49;118,16
1284;67,12;106,67
1285;67,75;128,44
1286;67,67;127,45
1287;64,71;102,93
1288;69,72;127,82
1289;68,50;139,78
1290;70,56;133,28
1291;66,58;120,29
1292;63,80;102,40
1293;66,38;134,20
1294;66,78;121,48
1295;66,99;108,25
1296;72,61;145,84
1297;67,80;114,92
1298;68,63;124,67
1299;65,81;113,61
1300;66,57;126,26
1301;66,40;124,03
1302;66,75;120,55
1303;69,02;124,42
1304;70,24;130,17
1305;70,18;137,27
1306;67,63;126,90
1307;66,43;118,28
1308;67,50;119,68
1309;68,19;134,33
1310;66,32;120,03
1311;70,33;140,27
1312;67,97;139,40
1313;66,07;105,10
1314;68,00;140,32
1315;65,48;139,76
1316;66,99;118,48
1317;69,89;121,83
1318;68,03;130,34
1319;70,00;138,22
1320;66,91;119,98
1321;71,43;141,52
1322;64,42;128,07
1323;68,63;122,66
1324;70,14;135,58
1325;69,94;158,79
1326;66,40;103,19
1327;65,27;122,93
1328;67,02;119,34
1329;66,33;139,57
1330;70,05;124,11
1331;71,49;132,54
1332;67,11;116,07
1333;72,52;162,87
1334;68,59;131,13
1335;66,72;124,87
1336;68,33;123,73
1337;66,52;119,01
1338;69,80;135,46
1339;70,18;139,65
1340;67,70;120,34
1341;66,73;113,04
1342;68,37;115,65
1343;68,14;128,62
1344;65,33;96,52
1345;68,27;122,66
1346;69,17;129,39
1347;66,47;128,84
1348;66,27;133,08
1349;67,80;130,12
1350;72,66;138,91
1351;70,62;138,92
1352;67,45;105,90
1353;68,51;135,43
1354;72,05;147,31
1355;64,71;108,76
1356;66,49;128,96
1357;71,91;147,78
1358;68,37;128,57
1359;69,44;127,42
1360;65,67;128,91
